gID	S1	S2	S3	S4	S5
K01369	7.443111	8.571369	13.212847	5.910789	9.952558
K01365	28.906705	42.173512	51.800501	72.952983	49.785106
K01366	1.900130	2.243114	4.605014	2.103389	3.146437
K01360	0.000000	0.000000	0.011808	0.000000	0.000000
K01363	37.103121	68.823488	65.367580	29.846822	73.461483
K01362	4.013883	4.634778	12.232806	5.218535	10.220340
K17816	0.314814	0.356521	0.850156	0.665629	0.736400
K08568	40.195048	72.552107	83.445212	79.502776	89.305242
K05849	12.929876	13.339843	35.127990	15.948480	29.790729
K05841	3.260577	2.644200	4.687668	3.061895	3.838206
K08565	0.393518	0.519927	0.507732	0.479253	0.423988
K00508	0.438491	0.698188	1.901044	1.224758	1.695952
K00503	1.203041	1.663767	5.006477	1.943638	3.213382
K00500	2.080023	2.243114	4.463321	2.449516	5.110170
K00507	20.890182	14.052886	32.801868	87.090951	41.773966
K00504	0.011243	0.014855	0.023615	0.053250	0.044630
K00505	0.764549	0.519927	0.956426	1.411134	0.736400
K01109	0.033730	0.014855	0.070846	0.000000	0.000000
K04468	0.056217	0.000000	0.000000	0.026625	0.000000
K09284	0.022487	0.014855	0.011808	0.000000	0.022315
K09285	0.022487	0.044565	0.059039	0.026625	0.089261
K01101	4.317454	4.768474	12.964885	8.733058	12.965104
K01100	4.845893	3.505794	7.415253	4.579530	7.698728
K01103	1.517855	1.530071	3.719434	1.677386	2.655503
K01102	0.348544	0.133696	0.436886	0.213001	0.334727
K01104	0.224867	0.207971	0.354232	0.292877	0.200836
K01106	0.202381	0.252536	0.307001	0.319502	0.178521
K05592	12.289004	15.360131	24.819844	14.776973	21.935795
K05591	0.629629	0.965579	1.346081	0.505878	1.405855
K05596	0.044973	0.029710	0.035423	0.053250	0.022315
K14549	1.484125	1.752897	4.498744	2.130014	4.195249
K14548	1.259257	2.005433	4.770322	2.263140	4.061358
K11610	0.033730	0.059420	0.000000	0.106501	0.022315
K14541	0.303571	0.430797	0.318809	0.426003	0.312412
K14540	1.214284	1.262680	3.790281	1.464385	2.588558
K14546	0.281084	0.519927	1.346081	0.798755	1.294279
K14545	0.078704	0.089130	0.212539	0.106501	0.290097
K14544	1.495368	1.351810	3.223510	1.304634	3.235697
K10568	0.011243	0.000000	0.023615	0.000000	0.022315
K02456	0.000000	0.029710	0.106270	0.053250	0.044630
K02105	0.348544	0.133696	0.236155	0.452628	0.066945
K02454	0.000000	0.014855	0.011808	0.026625	0.022315
K02100	1.596559	0.891304	1.074503	0.426003	0.647139
K02101	0.078704	0.074275	0.023615	0.000000	0.022315
K05330	0.764549	1.054709	1.546812	0.852006	2.543927
K14171	0.955686	1.054709	1.275235	0.878631	1.026497
