cNumber,S1,S2,S3,S4,S5
C18316,0.001095062099296,0.00158615109870736,0.00218073418785379,0.00111278371008528,0.00265667615412807
C18277,2.247331315884e-05,0.0001100673995694,0,0,3.07282687750696e-05
C18272,2.247331315884e-05,0.0001100673995694,0,0,3.07282687750696e-05
C18271,2.247331315884e-05,0.0001100673995694,0,0,3.07282687750696e-05
C18245,0.00709256370346481,0.015860918459488,6.00280286109004e-05,0.000330935081042955,0.00134619307563105
C18239,0.000137685983255959,0.000282292684445562,0.000101131987216456,6.06633918456795e-05,0.00073514469332355
C18218,0.000371900053046161,0.0123047083197705,7.97977688097448e-05,8.88497921980921e-05,0.000143313669571203
C18196,0.00457665370124704,0.0227318691296979,0.00309450059110161,0.00277230768658364,0.00256841091310218
C18195,0.00457665370124704,0.0227318691296979,0.00309450059110161,0.00277230768658364,0.00256841091310218
C18177,0.00633993463473777,0.0345827933345904,0.00114744863060729,0.00338265797241545,0.00314674639371598
C18176,0.00386300860846285,0.0209376658253062,0.00711637216854617,0.023011936121402,0.0454522389284303
C18175,0.00500069167844049,0.0206116357672741,0.00269307354940349,0.00462210639028798,0.00824687579553484
C18173,0.0148610153119648,0.0494386232812915,0.00287228284398004,0.00573993520321565,0.00672749358886877
C18171,0.00386300860846285,0.0209376658253062,0.00711637216854617,0.023011936121402,0.0454522389284303
C18166,0,0.000665121432629627,6.48925255997434e-06,0,0
C18133,0,0,1.11876592015009e-05,0,0
C18132,0.00288606729056848,0.00513016721445134,0.00128080289130098,0.00154046947741018,0.00305798228579233
C18131,0.000675469159828951,0.00724300454215168,0.000271202737628462,0.000352193138559276,0.000929701539678354
C18130,0,0.000460727717594421,5.73880903097652e-05,9.84835310443004e-05,0.000428822255785376
C18090,0.0114686924303043,0.0165336337569093,0.00687668063161024,0.0143422823817468,0.0293642403441471
C18075,0.000133458211649174,0.00133216726622403,0.000423802327333532,0.000114496351288737,0.000229161476775547
C18069,0.00045862074353009,0.000249959846760882,0.000362673218878626,7.97649101877079e-06,0
C18067,0.00050449418866395,0.000619105855593316,0.000587140364272456,0.00089965074667149,0.00115953792210739
C18064,0.000100295195380614,4.15309158498308e-05,0.000182882407540872,0.00046395375896227,2.21481662890135e-05
C18052,0.00018187037412536,0.000641373344933215,0,1.96246916066664e-05,0.000214383304976246
C18051,0.00018187037412536,0.000641373344933215,0,1.96246916066664e-05,0.000214383304976246
C18045,0.000133458211649174,0.00133216726622403,0.000423802327333532,0.000114496351288737,0.000229161476775547
C18043,0.04939459171027,0.0073726100408137,0.17284384641012,0.0184121662388184,0.27172879834476
C18039,0.000147625797365181,0.00115412150090672,4.46034416356454e-06,7.04635468940448e-05,0.00054364921835737
C18036,0.000342627205374517,0.00150467295075198,0.000145551018666763,0.000610719502908235,0.0035696262947017
C18028,0.00667473263806285,0.0299242424861844,0.00668400904342829,0.00643990814328653,0.00790992392919599
C18021,0.00118441684024711,0.000931234399480471,0.000117244430386075,0.00113445046806523,0.000416638027575364
C18019,0.000631850316826235,0.00208793735310829,0,4.18118116007058e-05,8.19447675818023e-05
C18016,0.0174842449528445,0.0512519169392922,0.00307442526977183,0.00306734034529523,0.00409060045706146
C18015,0.000615185523205933,0.00316408855868567,0.00104209579679735,0.00190928178271604,0.00231107005972577
C18001,0.00446255552303459,0.0051672909507627,0.00599923430842236,0.00429805975355767,0.0041476794498845
C17973,0.137964714352008,0.315603579527809,0.00502116036028958,0.024240153751839,0.0365017105088131
C17956,0.00633993463473777,0.0345827933345904,0.00114744863060729,0.00338265797241545,0.00314674639371598
C17954,0.000837561877105561,0.000879596159434822,0.000854692167502223,0.000509964957431012,0.000472854402755825
C17935,2.247331315884e-05,0.0001100673995694,0,0,3.07282687750696e-05
C17914,0.000837561877105561,0.000879596159434822,0.000854692167502223,0.000509964957431012,0.000472854402755825
C17912,0,0.000868407740599139,9.83359890572618e-06,0.000126106259126094,0.00060769928758193
C17902,0.00130540190899314,0.000753295545034565,0.0010591470537003,0.000717050071572701,0.00094494255091738
C17900,0.00221586006327564,0.00281396498084605,0.00267294581770795,0.00168030980767716,0.00171417659995474
C17883,2.77803775785325e-05,0.00158222087431262,3.53308191559066e-05,4.01940640349014e-05,0.000196879733438564
C17803,0.000597148966833104,0.00156152119524,0.000858513434268674,0.000869804316499946,0.0011571164410446
C17790,0.000268623799932249,0.00079847007424168,0.00510195248535089,0.00460985771214846,0.00543789016700105
C17782,0.000478413554197791,0.000913949023970397,0.00035663409968083,0.00034065844495607,0.000377084856989455
C17748,0.00270727905976196,0.00742535129782649,0.000388528720338485,0.000505860752053055,0.00158209825263582
C17747,0.0034627368709131,0.0104392144108151,0.00281047079358712,0.00408268828716732,0.00496419783929658
C17746,0.000371888691847397,0.00233786927037408,0.000172851574208099,0.000262293831695666,0.00078258520998103
C17713,0.0137951442930166,0.0899042923018813,0.00201462597890299,0.00131071628034449,0.000604934379450679
C17686,1.67968470066782e-05,0.000681531138015357,3.5199750532442e-05,0,1.06246521929276e-05
C17676,0.000373627192623362,0.000477060375577093,0.00021865304772007,0.000389997927685849,0.000200625802691435
C17672,0.000915688934934492,0.000261527083167905,0.000463239127449391,0.000667988442615042,0.000764995287276046
C17666,0.000478413554197791,0.000913949023970397,0.00035663409968083,0.00034065844495607,0.000377084856989455
C17665,0.000478413554197791,0.000913949023970397,0.00035663409968083,0.00034065844495607,0.000377084856989455
C17663,0.000478413554197791,0.000913949023970397,0.00035663409968083,0.00034065844495607,0.000377084856989455
C17659,0.000542352432059261,0.00508292685189124,0.00128232396225563,0.00332986528968999,0.0109440486709674
C17656,0.0420293439993773,0.134573022989086,0.00952695509230972,0.0197712765254451,0.0223052344631554
C17655,0.000299752919960726,0.000658978720778071,0.000160907688732185,0.000101998636531321,0.000368063500726578
C17653,0.000299752919960726,0.000658978720778071,0.000160907688732185,0.000101998636531321,0.000368063500726578
C17652,0.0420293439993773,0.134573022989086,0.00952695509230972,0.0197712765254451,0.0223052344631554
C17645,0.000341889470875992,0.00304214807162081,0.00107539075097768,0.0025722536858783,0.0109150582334646
C17643,0.000260272020708876,0.00220012602782897,0.000362205393767113,0.00065980956707061,0.0050983110890478
