cNumber,S1,S2,S3,S4,S5
C00047,0.000840511461487451,0.0017250769198983,0.00120101932200936,0.000770903738068351,0.000603921480607018
C00078,0.00591993256110926,0.0077076151078284,0.00395011177445806,0.0105623940914982,0.0274805209421008
C00079,0.000229452614822426,0.000310094878717,0.000319957870073724,0.000169275748213268,0.000356296398971604
C00079,0.00272239823677929,0.00405435791650597,0.00247859526476555,0.00242191629777332,0.00102863696427838
C00079,0.0314542264393111,0.0452364484755049,0.0178314887599914,0.0404356550992537,0.0867077876691914
C00082,0.00454189706015381,0.00535951444454077,0.00182391161310226,0.00617440844982615,0.0113314919754896
C00123,0.00586513557058042,0.00743078867097896,0.00334553267006446,0.00530297751633663,0.0523181327198085
C00147,0.000853366630424475,0.001372042342232,0.000188882008397585,0.0002435030823287,6.22793174982816e-05
C00242,0.000666689694709728,0.00115807590207134,0.00013779336346512,0.000128058982225988,0.000864254640732144
C00255,0.000658768565102079,0.000521645579666421,0.000137767001049698,0.00081213251641888,7.9714449421649e-05
C00299,0.00215896978678554,0.00450261801546894,0.000337631446935959,0.000524179414810424,0.000288913786212449
C00314,0.000141183719951441,0.000532074033559342,0.000544891429165013,0.000477336475199088,0.000386698701497269
C00319,0,0.000433012497468344,0.000465112071367356,9.67667231808176e-05,0.000958005347619397
C00328,0.000135084479814291,0.000475541060191167,2.20555957032934e-05,0.000109419175075462,0.00063864080723928
C00353,5.98554198919371e-05,0.000427981047766596,5.98864706789381e-05,0.000205338715179871,0.000338020393390241
C00397,0.000837589800954523,0.00122248639729037,0.00574722218804398,0.000237549846266401,0.000256326038284675
C00407,0.00586513557058042,0.00743078867097896,0.00334553267006446,0.00530297751633663,0.0523181327198085
C00410,0.00016480331606199,0.00191870997742792,1.76078464606066e-05,4.09204530124097e-05,0.000968832013239169
C00525,0.00591993256110926,0.0077076151078284,0.00395011177445806,0.0105623940914982,0.0274805209421008
C00526,0.000976604295121689,0.00129547042711142,0.00124552423284287,0.000964045354997905,0.000950846757963227
C00535,0.000412928629464802,0.000752634237972614,0.000419615772595418,0.000321657569109042,0.000343730068525592
C00547,0.000141183719951441,0.000532074033559342,0.000544891429165013,0.000477336475199088,0.000386698701497269
C00559,0.000428343609319942,0.00279719146227484,0.00066555252437988,0.000228952806167504,0.000144546279435638
