RInumber,cNumber,ChargedMass,RT,ionMode,S1,S2,S3,S4,S5
RI1,C06593,114.091340431091,420.66269999998,positive,0.00558257142816192,0.00571548443643828,0.00602730677206955,0.00264504793938036,0.00344066019287863
RI2,C01585,117.091006080091,343.2985,positive,0.000305400817552322,0.000486032660328181,0.000612986212306033,0.00038913092515771,0.000435735351456671
RI3,C02948,117.091006080091,343.2985,positive,0.000305400817552322,0.000486032660328181,0.000612986212306033,0.00038913092515771,0.000435735351456671
RI4,C03739,117.091006080091,343.2985,positive,0.000305400817552322,0.000486032660328181,0.000612986212306033,0.00038913092515771,0.000435735351456671
RI5,C12293,117.091006080091,343.2985,positive,0.000305400817552322,0.000486032660328181,0.000612986212306033,0.00038913092515771,0.000435735351456671
RI6,C12304,117.091006080091,343.2985,positive,0.000305400817552322,0.000486032660328181,0.000612986212306033,0.00038913092515771,0.000435735351456671
RI7,C12313,117.091006080091,343.2985,positive,0.000305400817552322,0.000486032660328181,0.000612986212306033,0.00038913092515771,0.000435735351456671
RI8,C01125,129.054620574091,1764.80409999999,positive,0.000766959458923119,0.00124302168068531,0.00134560998791945,0.000784888542903996,0.000900090291987617
RI9,C06719,129.054620574091,1764.80409999999,positive,0.000766959458923119,0.00124302168068531,0.00134560998791945,0.000784888542903996,0.000900090291987617
RI10,C06761,129.054620574091,1764.80409999999,positive,0.000766959458923119,0.00124302168068531,0.00134560998791945,0.000784888542903996,0.000900090291987617
RI11,C11354,129.054620574091,1764.80409999999,positive,0.000766959458923119,0.00124302168068531,0.00134560998791945,0.000784888542903996,0.000900090291987617
RI12,C00123,132.101905117091,140.53490000001,positive,0.00586513557058042,0.00743078867097896,0.00334553267006446,0.00530297751633663,0.0523181327198085
RI13,C00407,132.101905117091,140.53490000001,positive,0.00586513557058042,0.00743078867097896,0.00334553267006446,0.00530297751633663,0.0523181327198085
RI14,C01570,132.101905117091,140.53490000001,positive,0.00586513557058042,0.00743078867097896,0.00334553267006446,0.00530297751633663,0.0523181327198085
RI15,C01933,132.101905117091,140.53490000001,positive,0.00586513557058042,0.00743078867097896,0.00334553267006446,0.00530297751633663,0.0523181327198085
RI16,C02378,132.101905117091,140.53490000001,positive,0.00586513557058042,0.00743078867097896,0.00334553267006446,0.00530297751633663,0.0523181327198085
RI17,C02486,132.101905117091,140.53490000001,positive,0.00586513557058042,0.00743078867097896,0.00334553267006446,0.00530297751633663,0.0523181327198085
RI18,C06418,132.101905117091,140.53490000001,positive,0.00586513557058042,0.00743078867097896,0.00334553267006446,0.00530297751633663,0.0523181327198085
RI19,C08263,132.101905117091,140.53490000001,positive,0.00586513557058042,0.00743078867097896,0.00334553267006446,0.00530297751633663,0.0523181327198085
RI20,C16434,132.101905117091,140.53490000001,positive,0.00586513557058042,0.00743078867097896,0.00334553267006446,0.00530297751633663,0.0523181327198085
RI21,C16439,132.101905117091,140.53490000001,positive,0.00586513557058042,0.00743078867097896,0.00334553267006446,0.00530297751633663,0.0523181327198085
RI22,C16647,132.101905117091,140.53490000001,positive,0.00586513557058042,0.00743078867097896,0.00334553267006446,0.00530297751633663,0.0523181327198085
RI23,C03264,133.085920702091,184.1519,positive,0.00416783824242231,0.00598735611487732,0.00458495928509827,0.00323370336945938,0.00298547789157967
RI24,C03499,133.085920702091,184.1519,positive,0.00416783824242231,0.00598735611487732,0.00458495928509827,0.00323370336945938,0.00298547789157967
RI25,C06103,133.085920702091,184.1519,positive,0.00416783824242231,0.00598735611487732,0.00458495928509827,0.00323370336945938,0.00298547789157967
RI26,C07834,133.085920702091,184.1519,positive,0.00416783824242231,0.00598735611487732,0.00458495928509827,0.00323370336945938,0.00298547789157967
RI27,C00147,136.061771637091,96.02439999998,positive,0.000853366630424475,0.001372042342232,0.000188882008397585,0.0002435030823287,6.22793174982816e-05
RI28,C00860,142.097488441091,577.90440000002,positive,0.0070860370401215,0.0118173683354601,0.00854758410749703,0.00701494617824135,0.0066365937464799
RI29,C12104,143.106656144091,1293.18519999998,positive,1.39850541993968e-05,0.000642057158411617,0.000126602719587288,7.20969037588318e-05,4.50239865280343e-05
RI30,C12297,143.106656144091,1293.18519999998,positive,1.39850541993968e-05,0.000642057158411617,0.000126602719587288,7.20969037588318e-05,4.50239865280343e-05
RI31,C16648,143.106656144091,1293.18519999998,positive,1.39850541993968e-05,0.000642057158411617,0.000126602719587288,7.20969037588318e-05,4.50239865280343e-05
RI32,C16653,143.106656144091,1293.18519999998,positive,1.39850541993968e-05,0.000642057158411617,0.000126602719587288,7.20969037588318e-05,4.50239865280343e-05
RI33,C16654,143.106656144091,1293.18519999998,positive,1.39850541993968e-05,0.000642057158411617,0.000126602719587288,7.20969037588318e-05,4.50239865280343e-05
RI34,C06423,145.122306208091,641.498,positive,0.00180946209595184,0.00200100291877132,0.00231352642704592,0.00173895816253211,0.00154313584211856
RI35,C07185,145.122306208091,641.498,positive,0.00180946209595184,0.00200100291877132,0.00231352642704592,0.00173895816253211,0.00154313584211856
RI36,C02796,146.060040303091,730.3638,positive,6.00262489582786e-05,0.000557336927759975,0.000224466341327096,9.50528186624972e-05,5.80597066403752e-05
RI37,C06324,146.060040303091,730.3638,positive,6.00262489582786e-05,0.000557336927759975,0.000224466341327096,9.50528186624972e-05,5.80597066403752e-05
RI38,C06338,146.060040303091,730.3638,positive,6.00262489582786e-05,0.000557336927759975,0.000224466341327096,9.50528186624972e-05,5.80597066403752e-05
RI39,C06343,146.060040303091,730.3638,positive,6.00262489582786e-05,0.000557336927759975,0.000224466341327096,9.50528186624972e-05,5.80597066403752e-05
RI40,C06415,146.060040303091,730.3638,positive,6.00262489582786e-05,0.000557336927759975,0.000224466341327096,9.50528186624972e-05,5.80597066403752e-05
RI41,C08493,146.060040303091,730.3638,positive,6.00262489582786e-05,0.000557336927759975,0.000224466341327096,9.50528186624972e-05,5.80597066403752e-05
RI42,C00659,147.065185260091,1765.5505,positive,0.00194874585792893,0.00283141953486703,0.00254374345714005,0.00181415277606196,0.00188904732088188
RI43,C00772,147.065185260091,1765.5505,positive,0.00194874585792893,0.00283141953486703,0.00254374345714005,0.00181415277606196,0.00188904732088188
RI44,C00966,147.065185260091,1765.5505,positive,0.00194874585792893,0.00283141953486703,0.00254374345714005,0.00181415277606196,0.00188904732088188
RI45,C01053,147.065185260091,1765.5505,positive,0.00194874585792893,0.00283141953486703,0.00254374345714005,0.00181415277606196,0.00188904732088188
RI46,C04237,147.065185260091,1765.5505,positive,0.00194874585792893,0.00283141953486703,0.00254374345714005,0.00181415277606196,0.00188904732088188
RI47,C06006,147.065185260091,1765.5505,positive,0.00194874585792893,0.00283141953486703,0.00254374345714005,0.00181415277606196,0.00188904732088188
RI48,C06104,147.065185260091,1765.5505,positive,0.00194874585792893,0.00283141953486703,0.00254374345714005,0.00181415277606196,0.00188904732088188
RI49,C06762,147.065185260091,1765.5505,positive,0.00194874585792893,0.00283141953486703,0.00254374345714005,0.00181415277606196,0.00188904732088188
RI50,C14463,147.065185260091,1765.5505,positive,0.00194874585792893,0.00283141953486703,0.00254374345714005,0.00181415277606196,0.00188904732088188
RI51,C16272,147.065185260091,1765.5505,positive,0.00194874585792893,0.00283141953486703,0.00254374345714005,0.00181415277606196,0.00188904732088188
RI52,C00047,147.112804154091,168.34234999998,positive,0.000840511461487451,0.0017250769198983,0.00120101932200936,0.000770903738068351,0.000603921480607018
RI53,C00739,147.112804154091,168.34234999998,positive,0.000840511461487451,0.0017250769198983,0.00120101932200936,0.000770903738068351,0.000603921480607018
RI54,C01142,147.112804154091,168.34234999998,positive,0.000840511461487451,0.0017250769198983,0.00120101932200936,0.000770903738068351,0.000603921480607018
RI55,C01186,147.112804154091,168.34234999998,positive,0.000840511461487451,0.0017250769198983,0.00120101932200936,0.000770903738068351,0.000603921480607018
RI56,C05161,147.112804154091,168.34234999998,positive,0.000840511461487451,0.0017250769198983,0.00120101932200936,0.000770903738068351,0.000603921480607018
RI57,C16440,147.112804154091,168.34234999998,positive,0.000840511461487451,0.0017250769198983,0.00120101932200936,0.000770903738068351,0.000603921480607018
RI58,C14218,147.137956272091,530.96290000002,positive,0.00159366840707133,0.00236207490903817,0.00182348059374869,0.00117722675113937,0.00105581421715468
RI59,C14271,147.137956272091,530.96290000002,positive,0.00159366840707133,0.00236207490903817,0.00182348059374869,0.00117722675113937,0.00105581421715468
RI60,C14273,147.137956272091,530.96290000002,positive,0.00159366840707133,0.00236207490903817,0.00182348059374869,0.00117722675113937,0.00105581421715468
RI61,C06771,150.112469803091,183.6575,positive,0.00419285388990933,0.0117424670093954,0.00371788219847591,0.00915163919401261,0.00368744952788673
RI62,C14872,151.005955132091,68.38105000001,positive,0.0397705596930203,0.107478380715537,0.115431859723818,0.0364712062093467,0.00973213382128424
RI63,C02137,151.038970510091,90.9484,positive,0.00105130023927976,0.00111557579947639,0.00105093523642004,0.000640158508507516,0.000551490760338781
RI64,C03057,151.038970510091,90.9484,positive,0.00105130023927976,0.00111557579947639,0.00105093523642004,0.000640158508507516,0.000551490760338781
