cNumber,S1,S2,S3,S4,S5
C00147,0.000853366630424475,0.001372042342232,0.000188882008397585,0.0002435030823287,6.22793174982816e-05
C00242,0.000666689694709728,0.00115807590207134,0.00013779336346512,0.000128058982225988,0.000864254640732144
C00255,0.000658768565102079,0.000521645579666421,0.000137767001049698,0.00081213251641888,7.9714449421649e-05
C00397,0.000837589800954523,0.00122248639729037,0.00574722218804398,0.000237549846266401,0.000256326038284675
C00526,0.000976604295121689,0.00129547042711142,0.00124552423284287,0.000964045354997905,0.000950846757963227
C00836,9.52574660011201e-05,0.000533222080079004,0.000829937975067209,0.000285181292167258,0.00182082080456617
C00860,0.0070860370401215,0.0118173683354601,0.00854758410749703,0.00701494617824135,0.0066365937464799
C00864,0.000107729707837214,5.53583823882691e-05,3.09872415256446e-05,0.000389920448509324,0.000748294511542487
C00881,0.00138013524127283,0.00300675278868102,0.000766354214977082,0.00111622871460361,0.000909093352144539
C01540,2.43880570727126e-05,0.00307923598124114,0,0,0
C01804,0.000163376639008584,0.00126440585950975,2.25057563006802e-05,5.45525216569858e-05,0.000186825546321943
C01909,0.000317255294056806,0.000770459390403378,8.16591368659866e-05,0.000191448331173426,5.51211548483072e-05
C02892,0.00639725504298042,0.0338125933660141,0.00310326803848563,0.00446471929139718,0.00513170415219713
C03068,0.00072684212562117,0.00141099164606593,0.000215976465901915,0.000429164433903395,0.000323853572520817
C03068,0.000622284643588526,0.00151401284320574,0.000246831489842865,0.000585634146309987,0.000554043024622773
C03113,0.00368700676366659,0.00354265462553372,0.00455246926913281,0.00294429673672002,0.00253826127960786
C03240,0.000417670109874004,0.000737481619129158,1.74341316530809e-05,0.00068859443490479,0.000382267116505623
C03712,0.00125110060444885,0.000887512640881981,0.000806122803188374,0.000766251134301195,0.000700572715857924
C03929,0.00319147831961852,0.00348711960252126,0.00626495377014268,0.00492806847417799,0.0072540393442688
C03929,0.00198303182582212,0.00500216060607311,0.0023179405518549,0.00198325154285826,0.00377083086592222
C03995,1.58393846431587e-06,3.26205027750449e-05,0,0.00014208879775296,2.00505186957823e-05
C04020,0.00121169613214232,0.00232207309555429,0.000462263571496713,0.00158600783767687,0.00153907875804884
C04277,0.0118761459468036,0.0111204240042456,0.0179322719062632,0.0247111244223334,0.00369931435379857
C04867,0.000216967483120499,0.000728829586886727,0,5.04003948185804e-06,0.000123330600315165
C05790,0.00110099276524033,0.00190828920413467,0,0,7.56152134794591e-05
C05939,3.91728568378937e-05,1.61336440099303e-05,0,0,0
C06495,8.92473312316302e-05,0.00108375894167078,0.000124380612281008,0.000303692299833149,0.000469920931050554
C06497,8.2404596359894e-05,0.00024724157070254,0,0,0
C06593,0.00558257142816192,0.00571548443643828,0.00602730677206955,0.00264504793938036,0.00344066019287863
C06667,0.000380587054879739,0.00106425124735524,0,0,0
C06771,0.00419285388990933,0.0117424670093954,0.00371788219847591,0.00915163919401261,0.00368744952788673
C07202,0.000748068678582602,0.0012852901712054,3.76256021131133e-05,4.50353666652912e-05,8.96634278825085e-05
C07264,0.000352332107667013,0.000687342701820722,0.000841882669566304,0.000542825402627906,0.00065378929813303
C07469,0.00091426860004589,0,0.000335715292712032,2.53484325217024e-05,1.04513060766682e-05
C07469,0.000489651835509764,0.00090081011706631,0.00110086362465201,0.000769719288010961,0.000660468715225155
C07544,0.000455638170371478,0.000631733961826157,0.000614593438462956,0.000509074350611723,0.000490779035817161
C07866,0.0043927959421399,0.00557567191911947,0.00458154159125444,0.00315266630999272,0.0034564789547736
C07915,1.02203230650285e-05,0.0033526838552319,0.00016047418971561,7.10534071251069e-05,0.000164311605436553
C08317,0.0160229877526267,0.0184016175773733,0.0187636552670226,0.0146537825516049,0.0119511528609523
C08327,0.000760407477884285,0,1.33468190846279e-05,0,0
C08449,0.0001215741886885,0.00113616588430882,0,8.44365374484109e-05,0.000373001018427701
C08689,0,0.00139075791075463,1.60127654475637e-05,0.000162064286426056,6.19294432054041e-05
C08689,0.00241971521849093,0.0077144275965174,8.81058186456252e-05,0.000705409869246402,0.000585115892666356
C08726,0.00146562224633095,0.0018562190610953,0.00188149922258436,0.00124613183108711,0.00113095921234686
C08943,0.000353132577781128,4.41563692152354e-05,0.00108856255299272,0.00046619559434781,5.97153266307751e-05
C08944,0.000109101917331932,0.000198750110763253,0.00095117443010524,6.30255229786515e-05,0
C09106,0.00112986841141209,0.00176727996640043,0.00217812244368919,0.00176965339601582,0.00161985427136928
C09137,0.000599472433941337,0.00319761783416956,0.000685581728081053,0.000467298502764128,0.000428507240937976
C09157,0.00114013830101712,0.00196584270989398,0,0,0.00030758115680196
C09176,5.91794812221407e-05,0.000396174323718517,0.000949486880551047,0.000502268548350255,0.000469684803923649
C09201,0.00307220196056357,0.0020525793167695,0.00207095652340365,0.00324059942650494,0.00388650501149394
C09633,3.45244947997363e-05,0.000674501809426176,8.52655304677655e-05,0.000197779896202656,0.000842178758244777
C09738,0.000669602410974308,0.000830372131569245,0.000216734961483885,0.000154165949945147,0.000205053374951959
C09772,0.00325408364565131,0.00850455325806446,6.20384748887907e-05,0.000141592781604111,0.000564747579572477
C09860,0.00352302138240754,0.00299252349300713,0.00327655478787686,0.00281419161037486,0.0054893995497956
C09888,1.53293090000216e-05,0.000191143968749249,0,5.26452174870239e-05,0.000226519402046828
C09921,0.00190667824738079,0.00164737210231387,0.00144436416458012,0.00110076345538351,0.00118448446085702
C09948,0.00149459430645855,0.00194625457226604,0.00238253844864978,0.00175850910517334,0.00179047416712011
C10007,0.00125579983294594,0.00118122735391291,0.00126002866660083,0.0017266609485086,0.00268198679315392
C10167,0.00089692799296001,0.00112370081102533,7.43162683019251e-05,0.000189874267927794,0.000313695556351748
C10605,0.00057031209820238,0.00114606787773127,0.0011895555028107,0.000749479598350204,0.000760992249191781
C10673,0,0.000757289883652992,0,6.8041744297504e-05,7.8071607442963e-05
