,Km0_cpd,Km1_cpd,Km2_cpd,Km3_cpd,Km4_cpd,Km5_cpd,Km6_cpd,Km7_cpd,Km8_cpd
Carbohydrate metabolism,0.07608695652173914,0.07692307692307693,0.030303030303030304,0.13529411764705881,0.0,0.2692307692307692,0.04672897196261682,0.0,0.0
Lipid metabolism,0.5,0.34065934065934067,0.15151515151515152,0.07647058823529412,0.25,0.2967032967032967,0.37383177570093457,0.2,0.5416666666666666
Metabolism of cofactors and vitamins,0.043478260869565216,0.054945054945054944,0.05303030303030303,0.047058823529411764,0.0,0.04945054945054945,0.037383177570093455,0.1,0.0
Energy metabolism,0.021739130434782608,0.0,0.0,0.029411764705882353,0.0,0.01098901098901099,0.0,0.0,0.0
Amino acid metabolism,0.03260869565217391,0.0,0.20454545454545456,0.19411764705882353,0.0,0.027472527472527472,0.17757009345794392,0.0,0.0
Nucleotide metabolism,0.03260869565217391,0.04395604395604396,0.030303030303030304,0.029411764705882353,0.0,0.0,0.056074766355140186,0.2,0.0
Biosynthesis of other secondary metabolites,0.07608695652173914,0.06593406593406594,0.11363636363636363,0.1411764705882353,0.125,0.07692307692307693,0.04672897196261682,0.2,0.4583333333333333
Metabolism of terpenoids and polyketides,0.20652173913043478,0.3626373626373626,0.09090909090909091,0.07647058823529412,0.25,0.17582417582417584,0.102803738317757,0.2,0.0
Xenobiotics biodegradation and metabolism,0.010869565217391304,0.054945054945054944,0.3181818181818182,0.21764705882352942,0.25,0.08241758241758242,0.1308411214953271,0.1,0.0
Metabolism of other amino acids,0.0,0.0,0.007575757575757576,0.041176470588235294,0.125,0.005494505494505495,0.028037383177570093,0.0,0.0
Glycan biosynthesis and metabolism,0.0,0.0,0.0,0.011764705882352941,0.0,0.005494505494505495,0.0,0.0,0.0
Global and overview maps,,,,,,,,,
