,Km0_gene,Km1_gene,Km2_gene,Km3_gene,Km4_gene
Carbohydrate metabolism,41,8,17,136,13
Lipid metabolism,30,6,4,81,11
Metabolism of cofactors and vitamins,29,10,8,67,7
Energy metabolism,15,2,1,26,7
Amino acid metabolism,64,26,37,158,17
Nucleotide metabolism,20,3,8,54,11
Biosynthesis of other secondary metabolites,19,8,5,39,0
Metabolism of terpenoids and polyketides,10,5,1,11,3
Xenobiotics biodegradation and metabolism,23,3,3,47,3
Metabolism of other amino acids,11,2,2,21,4
Glycan biosynthesis and metabolism,7,1,6,21,2
Global and overview maps,,,,,
