gID	S1	S2	S3	S4	S5
K01369	0.247354	0.341666	0.460501	0.133126	0.200836
K01365	68.899372	496.723464	52.497157	86.345446	78.593969
K01366	1.180554	1.203260	1.346081	1.144883	0.981867
K01360	0.168651	0.178261	0.330616	0.319502	0.513249
K01363	1.439151	3.000722	2.196237	1.491010	3.570424
K01362	107.992570	67.293417	79.843855	87.170827	228.127808
K08568	45.996627	143.440450	63.017843	126.070209	74.443350
K08569	0.000000	0.014855	0.011808	0.026625	0.000000
K05841	0.281084	0.148551	0.814733	0.905256	0.557879
K05844	0.179894	0.044565	0.177116	0.133126	0.200836
K00508	0.753306	1.752897	4.179936	8.786308	10.845164
K00509	1.337961	39.024240	1.098119	0.931881	1.472800
K00503	0.663359	2.139129	1.263427	1.704011	2.231515
K00500	5.430548	30.556856	7.521523	6.043915	21.422547
K00507	104.810696	154.656020	71.129752	241.357222	111.330298
K00505	6.982133	4.129706	3.991012	2.502767	3.615055
K01109	1.495368	9.804339	1.759351	2.396266	1.852158
K04468	0.033730	0.014855	0.047231	0.000000	0.066945
K09284	0.348544	3.684055	0.023615	0.106501	0.133891
K04461	0.191137	0.103985	0.259770	0.559129	0.178521
K04460	27.602474	13.770640	44.267171	32.882093	30.303978
K01103	16.010559	38.920255	7.781293	20.155258	12.741952
K01102	0.089947	0.415942	0.200731	0.239627	0.357042
K01104	0.067460	0.014855	0.118077	0.186376	0.089261
K01106	0.157407	0.059420	0.295193	0.159751	1.004182
K05592	5.014543	1.381520	2.975547	2.742393	2.231515
K05591	0.022487	0.000000	0.035423	0.053250	0.089261
K05595	0.000000	0.059420	0.011808	0.000000	0.066945
K14549	56.340528	27.882946	43.558707	10.037691	18.075274
K14548	121.731968	29.576423	64.635501	13.019711	26.465771
K14540	1.158067	0.594202	2.408776	0.798755	1.048812
K14546	2.473541	0.876448	4.711283	1.970263	3.057176
K14545	24.454330	10.324266	16.070317	2.715768	6.359819
K14544	100.403295	11.913757	71.011674	8.626557	28.585711
K06573	0.022487	0.074275	0.059039	0.026625	0.022315
K09780	0.000000	0.000000	0.000000	0.026625	0.000000
K16603	0.595899	0.980434	2.881086	1.491010	2.075309
K02456	0.078704	0.029710	0.141693	0.053250	0.044630
K05337	0.865739	1.024999	1.487774	2.529392	2.320776
K02454	0.303571	0.118840	0.188924	0.106501	0.156206
K02100	0.033730	0.044565	0.070846	0.000000	0.000000
K02453	0.000000	0.014855	0.023615	0.000000	0.066945
K05330	0.044973	0.089130	0.082654	0.000000	0.044630
K05849	0.157407	0.267391	0.247962	0.239627	0.423988
K14171	0.438491	0.074275	0.118077	0.213001	0.022315
K02108	28.254589	2.198549	6.305327	12.620333	2.186885
K02109	5.093247	0.787318	2.444200	5.591287	0.781030
K05339	0.000000	0.029710	0.023615	0.000000	0.000000
K03853	0.033730	0.000000	0.507732	0.159751	0.267782
K03854	0.292328	0.118840	0.259770	0.319502	0.513249
K03857	4.452375	3.862315	3.424241	3.008645	2.588558
K03859	0.966930	4.248547	2.869278	3.461273	2.767079
K13010	0.067460	0.074275	0.082654	0.026625	0.044630
K04883	0.000000	0.000000	0.000000	0.000000	0.044630
K04882	0.044973	0.029710	0.011808	0.000000	0.022315
K04881	0.011243	0.000000	0.011808	0.026625	0.000000
K04885	0.044973	0.044565	0.082654	0.053250	0.089261
K04884	1.079364	0.148551	0.366040	0.079876	0.178521
K03719	0.101190	0.103985	0.059039	0.372752	0.066945
K13274	0.269841	4.025721	1.157157	0.532504	1.093442
K13275	0.595899	2.465940	1.180773	1.517635	2.298461
K13276	0.382275	0.207971	0.543155	0.905256	0.357042
K13277	0.337301	0.401087	0.495925	0.452628	0.401673
K13273	0.146164	0.103985	0.035423	0.079876	0.133891
K13278	1.169310	0.846738	0.200731	0.292877	0.178521
K03275	0.000000	0.000000	0.000000	0.026625	0.022315
K03274	0.146164	0.267391	0.200731	0.026625	0.200836
K03276	0.044973	0.044565	0.059039	0.026625	0.022315
K03271	0.022487	0.000000	0.047231	0.026625	0.000000
K03270	0.022487	0.014855	0.011808	0.079876	0.000000
K03273	0.044973	0.014855	0.047231	0.079876	0.066945
K03272	0.157407	0.074275	0.118077	0.186376	0.066945
K12275	56.542908	56.672050	37.158919	47.366188	63.129568
K12272	0.056217	0.014855	0.011808	0.026625	0.044630
K12271	0.134920	0.118840	0.448694	0.505878	0.892606
K16196	4.924596	27.957221	10.367185	7.934302	10.086449
K04469	0.056217	0.014855	0.956426	0.133126	0.312412
K16194	8.308851	19.118461	27.606467	24.761414	10.644328
K16195	2.327378	7.412674	3.235317	2.635892	2.655503
K16191	0.168651	0.029710	0.094462	0.026625	0.044630
K13907	0.191137	0.133696	0.295193	0.452628	0.535564
K03431	0.764549	0.237681	0.519540	0.186376	0.714085
K01101	18.675238	30.943088	36.686610	131.634871	35.213311
K17570	0.044973	0.103985	0.035423	0.053250	0.022315
K17576	0.202381	1.485506	0.554963	1.570885	0.423988
K01100	53.304818	61.499944	66.619200	64.805679	34.833954
K06221	0.067460	0.059420	0.094462	0.159751	0.133891
K09903	2.765869	0.059420	0.295193	0.479253	0.334727
K17578	0.843253	0.727898	1.393312	1.038382	1.249649
K06225	0.056217	0.089130	0.129885	0.079876	0.133891
K09907	0.022487	0.000000	0.011808	0.000000	0.000000
K11502	5.273141	12.834771	3.129048	3.141771	4.485346
K00771	0.314814	0.297101	0.909195	0.931881	0.914921
K00773	18.214260	9.462673	27.488390	17.785618	19.704280
K00772	0.179894	0.029710	0.047231	0.026625	0.022315
K00779	0.011243	0.000000	0.023615	0.133126	0.111576
K00778	0.000000	0.000000	0.000000	0.026625	0.000000
K17675	3.328038	1.604346	3.778473	3.700899	4.239879
K12825	13.053553	20.514837	8.749526	7.907677	8.792170
K07174	0.011243	0.014855	0.011808	0.000000	0.000000
K07175	0.033730	0.000000	0.035423	0.053250	0.000000
K07170	0.011243	0.014855	0.011808	0.053250	0.022315
K07178	48.548872	37.598154	50.348151	12.034580	25.774002
K07179	38.744653	19.237301	39.520465	6.390042	16.468583
K10101	0.067460	0.014855	0.000000	0.000000	0.066945
K15555	0.202381	1.738042	7.863947	7.188798	21.020874
K15553	0.202381	0.029710	0.035423	0.079876	0.066945
K15552	0.011243	0.029710	0.011808	0.026625	0.022315
K15551	0.191137	0.148551	0.177116	0.106501	0.156206
K01829	0.000000	0.000000	0.011808	0.026625	0.022315
K04675	0.056217	0.000000	0.000000	0.053250	0.022315
K01823	6.566128	11.973178	5.407939	9.984441	5.601103
K15083	13.975509	41.103948	77.824733	36.609617	54.739070
K15085	18.945079	34.478592	21.938758	15.149725	25.059917
K00999	4.418644	4.203982	3.624972	2.955395	4.596922
K00995	7.476841	19.994909	7.238137	13.046336	12.541116
K00991	6.217584	3.773185	3.377010	10.676696	3.994412
K00990	0.011243	0.074275	0.011808	0.079876	0.022315
K00993	17.876958	23.411573	10.839494	12.114455	13.656874
K18237	0.022487	0.044565	0.070846	0.133126	0.000000
K15332	45.344512	6.714487	28.503855	4.899032	18.008328
K15331	24.780388	3.550359	11.252764	6.363417	8.078085
K15336	14.301567	33.409028	8.100101	5.964039	7.185479
K15335	75.724098	20.529692	56.216592	9.398687	26.287250
K15334	0.000000	0.014855	0.035423	0.000000	0.044630
K15889	5.801579	11.423540	5.644094	9.052560	8.993007
K15338	0.584655	0.727898	1.098119	1.038382	1.093442
K13483	0.179894	0.059420	0.271578	0.319502	0.200836
K13482	0.258598	0.326811	0.673040	0.639004	0.758715
K13481	0.191137	1.752897	0.047231	0.159751	0.178521
K13485	0.000000	0.029710	0.023615	0.000000	0.044630
K14684	2.068780	1.574636	2.633123	7.242048	3.034861
K14685	3.238091	2.956157	7.781293	6.017290	5.087855
K02739	10.085303	58.766614	10.461647	15.336101	20.663832
K02738	6.442451	12.909046	7.273560	11.981329	13.813080
K14682	16.606458	29.784393	18.054016	14.643847	19.771225
K14683	99.796153	710.354068	71.495791	91.936733	138.264688
K05104	0.011243	0.014855	0.035423	0.026625	0.133891
