gID	S1	S2	S3	S4	S5
K01369	8.230147	13.859770	20.155791	7.268673	16.334692
K01365	106.542175	551.152392	119.446973	165.209218	148.150300
K01367	0.011243	0.029710	0.059039	0.026625	0.111576
K01366	3.642852	4.575358	7.474292	3.621024	6.158982
K01360	0.168651	0.178261	0.342424	0.319502	0.513249
K01363	45.738030	90.229627	86.231835	37.142121	106.666431
K01362	112.512405	72.522397	93.115741	92.948490	239.330015
K17816	0.337301	0.356521	0.885580	0.665629	0.781030
K08568	95.433726	241.617532	178.461996	217.793941	213.846111
K08569	0.000000	0.014855	0.011808	0.026625	0.000000
K05841	3.721556	3.268113	6.317134	4.233403	5.556473
K05844	0.179894	0.044565	0.177116	0.133126	0.200836
K08565	0.393518	0.519927	0.507732	0.479253	0.423988
K00508	1.551585	2.792751	7.344407	10.410444	13.902340
K00509	1.371691	39.039095	1.098119	0.985132	1.472800
K00503	1.933860	3.847460	6.281711	3.674274	5.444897
K00500	7.510571	32.829680	11.984844	8.493431	26.532717
K00506	0.022487	0.014855	0.118077	0.026625	0.133891
K00507	128.444260	173.551652	114.936421	331.536693	163.927113
K00504	0.022487	0.014855	0.035423	0.053250	0.044630
K00505	8.230147	6.491661	8.477948	4.579530	10.912110
K01109	1.675262	9.982600	2.160814	2.556017	2.186885
K04468	0.089947	0.014855	0.047231	0.026625	0.066945
K09286	0.011243	0.044565	0.094462	0.133126	0.156206
K09284	0.427248	3.728620	0.283385	0.133126	0.312412
K09285	0.022487	0.044565	0.059039	0.026625	0.089261
K01101	24.431843	37.583299	54.882318	142.045315	52.217458
K01100	59.612348	66.416968	76.962769	70.902844	43.871591
K01103	20.339257	44.178945	14.700621	24.867914	19.838171
K01102	0.517195	0.698188	0.873772	0.585754	1.004182
K01104	0.371031	0.252536	0.507732	0.559129	0.357042
K04467	0.000000	0.000000	0.070846	0.000000	0.066945
K01106	0.607142	0.579347	1.676697	0.692255	1.740582
K05592	17.449710	16.875347	27.925276	17.599241	24.412777
K05591	0.697089	1.010144	1.416927	0.639004	1.517430
K05596	0.044973	0.029710	0.035423	0.053250	0.022315
K05595	0.000000	0.059420	0.011808	0.000000	0.066945
K14549	58.319361	30.096349	49.002070	12.913210	22.739141
K14548	123.182363	32.057217	70.255980	15.682229	31.709832
K11962	0.146164	0.193116	0.153500	0.079876	0.290097
K14541	0.303571	0.430797	0.318809	0.426003	0.312412
K14540	2.529758	1.931158	6.340750	2.343015	3.838206
K14546	3.631609	2.807606	7.675023	3.354772	5.958146
K14545	24.769144	10.695642	16.696127	3.008645	6.940013
K14544	102.730673	14.825349	75.179802	10.836447	34.209129
K06573	0.067460	0.074275	0.094462	0.026625	0.044630
K09780	0.000000	0.000000	0.000000	0.026625	0.000000
K01403	0.056217	0.059420	0.070846	0.133126	0.022315
K02456	0.078704	0.059420	0.247962	0.106501	0.089261
K02105	0.416005	0.193116	0.318809	0.612379	0.066945
K02454	0.303571	0.133696	0.200731	0.133126	0.178521
K02100	1.630289	0.995289	1.204388	0.452628	0.758715
K02453	0.000000	0.014855	0.023615	0.000000	0.066945
K05330	0.854496	1.232970	1.664890	0.878631	2.677818
K05849	14.852492	16.340565	41.031854	19.356503	40.680524
K14171	1.405421	1.128984	1.428735	1.091632	1.048812
K02108	36.181165	7.338399	16.023086	16.933612	11.469989
K02109	8.342581	3.030432	7.769485	10.224068	5.757309
K05339	0.000000	0.029710	0.023615	0.000000	0.000000
K03850	0.213624	0.237681	0.590386	0.239627	0.223152
K03853	0.382275	0.549637	2.644931	0.825380	1.606691
K03854	0.742062	0.490217	0.720271	0.426003	0.937236
K03857	4.902109	4.545648	4.262590	3.727525	5.020909
K03859	1.079364	4.307967	3.211702	3.461273	2.967915
K03858	0.000000	0.044565	0.011808	0.000000	0.000000
K18182	0.044973	0.074275	0.247962	0.239627	0.290097
K02195	0.000000	0.029710	0.011808	0.026625	0.022315
K13010	1.708992	2.302534	2.585892	0.825380	1.874473
K04889	0.123677	0.193116	0.342424	0.106501	0.446303
K04883	0.303571	0.326811	0.259770	0.106501	0.267782
K04882	0.191137	0.074275	0.094462	0.079876	0.178521
K04881	0.089947	0.207971	0.991849	0.266252	0.714085
K04880	0.056217	0.059420	0.165308	0.053250	0.178521
K04887	0.089947	0.014855	0.035423	0.000000	0.089261
K04886	0.921956	0.772463	1.747544	0.745505	1.338909
K04885	0.955686	0.891304	1.251619	0.559129	1.048812
K04884	1.079364	0.148551	0.366040	0.079876	0.178521
K13196	0.303571	0.103985	0.472309	0.372752	0.178521
K13274	0.460978	4.189127	1.475966	1.038382	1.450485
K13275	2.923276	4.961590	3.518703	4.126902	4.552291
K13276	0.427248	0.252536	0.578579	0.958506	0.357042
K13277	0.337301	0.401087	0.495925	0.452628	0.401673
K13273	0.584655	0.727898	2.869278	1.357884	2.476982
K13278	1.472881	1.322100	1.039080	3.913901	0.714085
K03275	0.000000	0.000000	0.000000	0.026625	0.022315
K03274	0.146164	0.460507	0.224347	0.079876	0.200836
K03276	0.044973	0.044565	0.059039	0.026625	0.022315
K03271	0.022487	0.000000	0.047231	0.026625	0.000000
K03270	0.022487	0.014855	0.011808	0.079876	0.000000
K03273	0.247354	0.059420	0.212539	0.186376	0.290097
K03272	1.810183	1.500361	2.278891	1.304634	1.874473
K12275	60.129543	61.470233	44.810327	50.827461	70.270417
K12272	1.371691	1.114129	2.585892	1.544260	3.079491
K12271	0.966930	0.683333	1.050888	0.878631	1.316594
K16196	13.997996	32.280043	17.817861	10.783196	15.598292
K16197	1.753966	3.654344	1.582236	2.556017	1.673636
K16194	9.028426	19.876069	28.834471	25.879671	11.670825
K16195	2.799599	8.303978	5.065515	3.514523	4.172934
K16190	1.832669	1.990578	3.495087	1.491010	2.633188
K16191	0.292328	0.237681	0.307001	0.053250	0.357042
K16198	1.191797	1.396376	1.629466	0.745505	2.387721
K13907	0.854496	0.519927	0.980041	0.958506	1.182703
K04461	0.730819	0.490217	1.062695	1.224758	1.115758
K17571	0.011243	0.014855	0.047231	0.026625	0.022315
K17570	6.150123	9.031876	18.585363	10.064317	17.227298
K17576	1.000660	2.287679	1.039080	2.316390	0.892606
K17575	0.000000	0.014855	0.082654	0.079876	0.066945
K04460	35.529050	23.233312	63.938845	41.482024	46.482464
K06221	0.640872	0.906159	1.015465	0.825380	0.624824
K09903	2.765869	0.074275	0.295193	0.479253	0.334727
K17578	0.854496	0.742753	1.405120	1.091632	1.249649
K09905	0.202381	0.148551	0.259770	0.079876	0.178521
K04463	0.011243	0.000000	0.023615	0.000000	0.022315
K09907	0.022487	0.000000	0.023615	0.000000	0.000000
K11502	7.589275	15.211580	7.332599	6.682919	8.211976
K16223	0.011243	0.000000	0.000000	0.053250	0.000000
K04464	0.056217	0.074275	0.165308	0.079876	0.044630
K00771	0.899470	0.846738	1.948275	1.224758	1.919103
K00773	20.833965	12.032598	33.156099	21.220265	24.635929
K00772	0.854496	1.262680	1.275235	0.505878	0.981867
K00775	0.044973	0.014855	0.023615	0.000000	0.022315
K00779	0.944443	1.336955	5.679517	1.331259	3.905152
K00778	0.494708	0.460507	0.873772	0.372752	0.669455
K12827	17.213600	40.376050	47.183680	17.572616	26.041783
K09876	0.033730	0.014855	0.000000	0.026625	0.000000
K12825	21.384890	29.457582	23.119531	15.123100	19.481129
K07174	0.011243	0.014855	0.011808	0.000000	0.000000
K07175	0.033730	0.000000	0.035423	0.053250	0.000000
K07170	0.022487	0.014855	0.011808	0.053250	0.044630
K09675	0.348544	0.044565	0.307001	0.053250	0.446303
K07178	51.348471	41.118803	58.837907	16.054981	33.829772
K07179	41.926527	22.475704	46.250869	9.798065	23.163129
K15891	0.000000	0.029710	0.035423	0.000000	0.022315
