Astgla	704117	305027	981471	768072	883128	573541	409498	456427	750363	465223
Chrfra	73537	43393	76378	25384	35400	37970	35097	44113	25804	43246
Skedoh	1405908	1723866	649659	316021	278073	286135	153862	170542	396182	188965
Vansp	103475	73808	100511	40177	52928	58787	55022	70218	36122	65997
Pseela	197040	85532	160212	83242	74698	89002	77368	89118	63527	85976
Hemtep	117526	48428	102392	35673	44008	57784	46749	48870	40593	47422
Sorsp	232747	119582	352604	163067	219915	205128	151537	163945	257885	179994
Cycten	227092	72250	172383	113681	150871	97835	80023	96400	118940	97264
Pyrsp	81879	71503	105414	46175	64521	62262	51877	63134	49713	60551
Flopar	328417	348983	882210	127020	154369	247669	209639	243384	120527	222124
Pinpyr	64077	54404	71369	28259	34094	39176	36022	43450	31331	41004
Dolten	87455	53314	88459	35848	43191	51475	46164	52475	32967	50148
Tetstr	470333	433751	466118	175327	270554	302372	247199	269942	173028	256619
GonPac	203306	119632	175110	88700	94461	101527	93187	135095	70918	113535
Alemon	386204	363495	501781	200351	189353	263158	458078	395450	142944	354632
Trisp	51196	18847	61892	37560	54356	40517	32947	34100	55158	36383
Cerfus	497874	321728	558696	274839	225549	280924	259794	277364	216597	281974
Tetsp	327913	93640	176012	58223	89025	79487	142520	133570	74273	191671
Chrbre	186660	98109	260678	60565	76048	208737	155455	161589	78965	133049
RCC9981	38565	10652	22187	18361	12751	10612	10682	12467	9382	12964
Ampsp	412141	185151	461821	279880	395590	195622	184222	211693	219707	205917
Karmic	786009	231639	378047	173731	220126	179686	224051	197598	179344	190253
RCC1871	202434	33996	33814	13549	16378	18588	21726	20488	15345	52070
Dinsp	267555	121146	182336	88827	141510	97920	87685	100698	113328	99482
Cafroe	82019	72105	81502	38054	36386	49974	44628	59419	24442	50390
Hetrot	211795	148169	208381	69740	71496	87698	85651	90566	45081	81288
Steram	155132	118993	191944	91900	132196	122164	94212	99259	129039	106213
Picsal	67230	21557	51379	24928	32539	27643	28742	30404	26402	29888
Ptesp	72794	43413	83609	44423	46496	47968	45025	49838	47690	50623
Vaulit	165127	64076	116629	65657	77284	80504	74849	83992	60540	77522
Eutgym	511110	298369	398469	207954	232661	217671	192066	246059	191536	258025
Cocpel	164015	102272	159695	75018	65736	87360	86455	103141	52756	98673
Ostluc	59615	30588	72465	35593	31808	34930	29845	26807	27691	26449
Aplsp	191441	36088	122677	58288	90602	65690	57147	60392	79815	59065
Chrneb	76197	21914	90430	41766	57386	52199	34226	34392	70151	37786
RCC9982	22815	10086	16706	9567	7379	7446	6899	8728	5393	9467
Crycoh	522186	496839	668153	226602	308381	310809	272617	339465	249075	322304
Ochsp	856914	1255959	926005	429015	1214861	615061	453624	743113	549905	780845
RCC2335	291609	191109	281138	82095	141951	172016	142795	110156	106648	134764
Scrhan	478305	366916	419265	129806	175377	197264	195570	220746	123151	197508
Cyaglo	95848	52299	83179	35398	48457	52153	43671	43759	38425	45902
Pseaus	444550	534392	528130	346308	466762	296987	227632	343970	281298	337640
Aurano	442610	570037	2003765	208095	163142	1411039	806218	726850	544200	823257
Conmag	46384	17637	67559	38150	49102	39596	29918	30677	59428	34971
Rhomac	99195	36973	69448	30697	38003	43232	38528	42182	32694	40081
Pavsp	329468	95660	165374	51063	73655	77673	137858	134936	58195	187215
RCC8569	655	499	917	492	447	461	395	499	351	468
Favehr	137051	162831	111052	262991	71315	85978	85243	106605	58205	122119
D	571620	511418	541218	342513	851351	332878	288097	398055	235080	402858
Branut	539799	241282	385775	65324	142649	138130	133897	238472	82702	314795
Chlcf	71439	41010	58166	39169	32219	37646	29840	44378	28959	41866
RCC9986	7531	3844	6450	3129	3586	3128	2952	3388	3136	3819
Psehei	102463	49334	119169	71762	95681	72826	54784	61606	91600	61647
Aleand	120648	106270	147241	46507	56867	72929	76573	93110	50415	88308
Rhomar	160526	63134	112208	60014	75033	67415	59828	69259	62488	65485
Psepun	229613	116957	309040	269039	241489	182020	136561	155702	225131	160610
CCMP2111	57954	31239	42622	19899	24363	23634	22244	24767	19277	24109
Favtar	665579	415066	260436	440195	264761	184881	481757	366565	162091	508934
Bolsp	256997	122568	194908	86046	118924	116105	96369	108738	85553	108298
Gemcry	288085	202574	297438	151844	141215	156044	128597	164789	117763	166409
Timoli	32712	13640	44248	22243	34377	25266	21485	22243	36013	24331
Parves	152090	64955	231331	93590	157471	118503	88046	89397	163390	101327
Stacon	89577	38626	86466	47609	59683	51487	40216	44726	56506	45835
Pracap	44424	29702	45506	21549	22638	24619	24267	26574	19301	25417
Hanphi	111367	59873	113287	47485	57138	58250	67872	63819	47291	62345
Arisp	124744	38329	115760	66741	86704	69155	55579	60640	95499	64544
Rhiset	1141270	133702	556457	582048	440004	221934	179224	203500	288338	205450
Synpus	61292	34702	51460	19675	22528	30458	27075	31681	16442	28039
Alefun	234778	220372	264649	79657	136747	196048	126767	116603	113424	118756
RCC9984	12178	3734	6106	3151	4005	4186	3438	3985	3450	4124
Chasp	584236	289530	565684	394277	440769	271780	205867	249972	376031	255976
Plecar	469810	215100	265981	86934	141037	154729	130824	217345	89204	273819
RCC2339	96627	70850	99833	40777	53357	57816	53049	64636	41524	63755
ParImp	220084	74514	145506	77047	106841	81398	74990	85769	84904	81926
Odoaur	221602	76016	170161	122097	115376	100211	78766	88393	107230	86779
Litpic	67197	28258	86120	54429	63340	52444	41379	43230	74991	47515
Chrsp	181833	146541	210935	69535	103542	121046	105943	128033	88448	131217
CCMP2298	386465	409626	342522	151385	307028	212061	172413	260493	131577	256713
Hemvir	81997	43527	85607	34553	36484	44114	39885	45137	31583	43193
Hetarc	161281	126222	167742	51158	108431	80805	78897	85013	47213	78532
Dicspe	436188	203693	721824	62722	81854	446320	409662	415691	266543	548233
Alemin	53609	77127	68380	16699	19504	30141	32673	36273	15576	32003
Erymad	32413	14254	30724	13230	17587	16726	15688	16727	15413	16909
Crypar	267052	107060	142679	64531	73405	80531	71922	88942	59212	87094
Minchi	57921	83642	23731	13545	44687	13874	13150	44289	9585	77749
Phacor	103521	60430	108710	34249	43187	60167	49582	50882	30006	51035
Synrec	131911	54429	163704	111511	146335	93710	73000	92749	123915	93355
Pyramy	201870	123519	207221	91295	112162	132049	101141	87695	107525	100657
Eucant	308732	100938	1519114	1365998	1640851	923686	600311	586003	1285334	628844
Heltam	220276	43717	160334	208800	142817	103129	67556	70575	129351	72654
Nitpun	325046	185927	414983	230891	420024	215729	190831	225357	271835	227662
Gymcat	215239	149612	246498	95763	118436	114812	119715	128908	94181	123861
Madery	97472	101333	132656	54490	91179	78543	69065	92583	61508	86140
Sexsp	77547	130868	105187	43319	85898	66907	55039	80071	43828	76665
Lotamo	146070	70926	130758	61810	73844	107024	72677	67960	98260	76400
Pyrobo	73155	45047	97232	36416	38084	57481	45753	51666	37248	50416
Cafsp	56917	59212	66193	31123	30421	40233	36599	49904	20760	42641
Proadh	117001	46306	128305	66492	91944	76301	60374	63597	98737	69375
Pyrbah	232367	180082	258155	88517	113947	129947	133260	146264	87205	134923
Chrpol	320697	257053	494639	145911	145960	281175	229853	254795	105331	226387
Ostmed	1181731	544160	845985	380637	476365	455911	425169	472819	360830	449506
CCMP2097	244236	84895	156720	57793	69377	83738	77797	85213	43364	74875
