RI1,C00047
RI2,C00078
RI3,C00079
RI4,C00079
RI5,C00079
RI6,C00082
RI7,C00123
RI8,C00147
RI9,C00242
RI10,C00255
RI11,C00299
RI12,C00314
RI13,C00319
RI14,C00328
RI15,C00353
RI16,C00397
RI17,C00407
RI18,C00410
RI19,C00525
RI20,C00526
RI21,C00535
RI22,C00547
RI23,C00559
RI24,C00642
RI25,C00674
RI26,C00735
RI27,C00739
RI28,C00755
RI29,C00766
RI30,C00806
RI31,C00836
RI32,C00860
RI33,C00864
RI34,C00881
RI35,C00951
RI36,C00951
RI37,C00959
RI38,C00959
RI39,C00959
RI40,C01124
RI41,C01125
RI42,C01126
RI43,C01142
RI44,C01173
RI45,C01176
RI46,C01186
RI47,C01198
RI48,C01227
RI49,C01230
RI50,C01301
RI51,C01302
RI52,C01456
RI53,C01536
RI54,C01540
RI55,C01570
RI56,C01585
RI57,C01588
RI58,C01588
RI59,C01717
RI60,C01717
RI61,C01717
RI62,C01717
RI63,C01718
RI64,C01737
RI65,C01744
RI66,C01804
RI67,C01909
RI68,C01927
RI69,C01933
RI70,C01936
RI71,C01936
RI72,C01953
RI73,C01963
RI74,C01983
RI75,C01984
RI76,C02057
RI77,C02057
RI78,C02057
RI79,C02067
RI80,C02099
RI81,C02137
RI82,C02140
RI83,C02165
RI84,C02165
RI85,C02165
RI86,C02172
RI87,C02172
RI88,C02172
RI89,C02172
RI90,C02181
RI91,C02185
RI92,C02185
RI93,C02201
RI94,C02265
RI95,C02265
RI96,C02265
RI97,C02363
RI98,C02378
RI99,C02486
RI100,C02519
RI101,C02526
RI102,C02533
RI103,C02537
RI104,C02537
RI105,C02639
RI106,C02646
RI107,C02657
RI108,C02710
RI109,C02852
RI110,C02892
RI111,C02934
RI112,C02942
RI113,C02948
RI114,C02989
RI115,C03012
RI116,C03027
RI117,C03057
RI118,C03068
RI119,C03068
RI120,C03080
RI121,C03081
RI122,C03113
RI123,C03164
RI124,C03205
RI125,C03207
RI126,C03209
RI127,C03220
RI128,C03240
RI129,C03290
RI130,C03428
RI131,C03582
RI132,C03588
RI133,C03663
RI134,C03681
RI135,C03690
RI136,C03690
RI137,C03712
RI138,C03739
RI139,C03747
RI140,C03748
RI141,C03772
RI142,C03929
RI143,C03929
RI144,C03935
RI145,C03965
RI146,C03995
RI147,C04020
RI148,C04042
RI149,C04043
RI150,C04083
RI151,C04084
RI152,C04108
RI153,C04167
RI154,C04223
RI155,C04277
RI156,C04302
RI157,C04333
RI158,C04368
RI159,C04379
RI160,C04420
RI161,C04554
RI162,C04660
RI163,C04685
RI164,C04685
RI165,C04685
RI166,C04686
RI167,C04686
RI168,C04686
RI169,C04709
RI170,C04717
RI171,C04742
RI172,C04805
RI173,C04822
RI174,C04822
RI175,C04822
RI176,C04849
RI177,C04849
RI178,C04849
RI179,C04867
RI180,C05028
RI181,C05028
RI182,C05139
RI183,C05139
RI184,C05141
RI185,C05161
RI186,C05198
RI187,C05291
RI188,C05291
RI189,C05294
RI190,C05294
RI191,C05301
RI192,C05356
RI193,C05356
RI194,C05356
RI195,C05401
RI196,C05469
RI197,C05473
RI198,C05475
RI199,C05476
RI200,C05477
RI201,C05478
RI202,C05479
RI203,C05483
RI204,C05487
RI205,C05488
RI206,C05490
RI207,C05490
RI208,C05497
RI209,C05498
RI210,C05581
RI211,C05593
RI212,C05607
RI213,C05629
RI214,C05647
RI215,C05790
RI216,C05852
RI217,C05939
RI218,C05965
RI219,C05965
RI220,C05965
RI221,C05966
RI222,C05966
RI223,C05966
RI224,C06089
RI225,C06121
RI226,C06183
RI227,C06217
RI228,C06217
RI229,C06360
RI230,C06391
RI231,C06392
RI232,C06418
RI233,C06420
RI234,C06423
RI235,C06495
RI236,C06497
RI237,C06521
RI238,C06526
RI239,C06527
RI240,C06546
RI241,C06593
RI242,C06667
RI243,C06719
RI244,C06761
RI245,C06771
RI246,C06852
RI247,C06955
RI248,C06972
RI249,C07056
RI250,C07120
RI251,C07120
RI252,C07144
RI253,C07185
RI254,C07202
RI255,C07254
RI256,C07264
RI257,C07338
RI258,C07346
RI259,C07354
RI260,C07355
RI261,C07360
RI262,C07469
RI263,C07469
RI264,C07499
RI265,C07513
RI266,C07527
RI267,C07527
RI268,C07527
RI269,C07544
RI270,C07577
RI271,C07578
RI272,C07591
RI273,C07591
RI274,C07594
RI275,C07708
RI276,C07719
RI277,C07726
RI278,C07818
RI279,C07839
RI280,C07866
RI281,C07875
RI282,C07904
RI283,C07915
RI284,C08027
RI285,C08149
RI286,C08152
RI287,C08153
RI288,C08235
RI289,C08238
RI290,C08238
RI291,C08263
RI292,C08317
RI293,C08327
RI294,C08431
RI295,C08435
RI296,C08448
RI297,C08449
RI298,C08452
RI299,C08516
RI300,C08530
RI301,C08585
RI302,C08606
RI303,C08614
RI304,C08666
RI305,C08689
RI306,C08689
RI307,C08701
RI308,C08707
RI309,C08726
RI310,C08731
RI311,C08837
RI312,C08943
RI313,C08944
RI314,C08998
RI315,C09017
RI316,C09021
RI317,C09087
RI318,C09087
RI319,C09087
RI320,C09106
RI321,C09136
RI322,C09137
RI323,C09157
RI324,C09175
RI325,C09175
RI326,C09175
RI327,C09176
RI328,C09201
RI329,C09210
RI330,C09259
RI331,C09268
RI332,C09276
RI333,C09278
RI334,C09280
RI335,C09289
RI336,C09312
RI337,C09314
RI338,C09317
RI339,C09321
RI340,C09382
RI341,C09383
RI342,C09384
RI343,C09404
RI344,C09408
RI345,C09445
RI346,C09454
RI347,C09460
RI348,C09466
RI349,C09484
RI350,C09505
RI351,C09591
RI352,C09604
RI353,C09621
RI354,C09623
RI355,C09628
RI356,C09631
RI357,C09633
RI358,C09640
RI359,C09642
RI360,C09642
RI361,C09645
RI362,C09650
RI363,C09651
RI364,C09663
RI365,C09664
RI366,C09676
RI367,C09682
RI368,C09692
RI369,C09698
RI370,C09704
RI371,C09705
RI372,C09710
RI373,C09729
RI374,C09730
RI375,C09737
RI376,C09738
RI377,C09744
RI378,C09745
RI379,C09772
RI380,C09860
RI381,C09870
RI382,C09879
RI383,C09886
RI384,C09888
RI385,C09916
RI386,C09921
RI387,C09925
RI388,C09927
RI389,C09938
RI390,C09948
RI391,C09966
RI392,C10006
RI393,C10007
RI394,C10136
RI395,C10146
RI396,C10146
RI397,C10153
RI398,C10163
RI399,C10163
RI400,C10167
RI401,C10173
RI402,C10206
RI403,C10247
RI404,C10254
RI405,C10258
RI406,C10263
RI407,C10263
RI408,C10263
RI409,C10267
RI410,C10269
RI411,C10272
RI412,C10278
RI413,C10283
RI414,C10287
RI415,C10310
RI416,C10314
RI417,C10326
RI418,C10330
RI419,C10336
RI420,C10347
RI421,C10356
RI422,C10373
RI423,C10373
RI424,C10373
RI425,C10373
RI426,C10378
RI427,C10403
RI428,C10403
RI429,C10403
RI430,C10408
RI431,C10408
RI432,C10409
RI433,C10409
RI434,C10454
RI435,C10454
RI436,C10478
RI437,C10478
RI438,C10487
RI439,C10494
RI440,C10528
RI441,C10574
RI442,C10605
RI443,C10655
RI444,C10658
RI445,C10673
RI446,C10675
RI447,C10683
RI448,C10689
RI449,C10692
RI450,C10695
RI451,C10712
RI452,C10738
RI453,C10743
RI454,C10773
RI455,C10773
RI456,C10804
RI457,C10812
RI458,C10838
