,nCpds,nGenes,Km0_cpd,Km0_gene,Km1_cpd,Km1_gene,Km2_cpd,Km2_gene,Km3_cpd,Km3_gene,Km4_cpd,Km4_gene,Km5_cpd,Km5_gene
ko00010,31,96,4,1,0,1,0,4,0,0,0,9,0,1
ko00020,20,57,2,0,0,0,0,4,0,1,1,16,2,0
ko00030,35,76,2,1,0,0,0,0,0,1,0,3,0,0
ko00040,55,63,1,1,0,0,0,1,0,0,0,6,1,0
ko00051,53,98,11,1,0,0,0,1,2,0,4,9,0,1
ko00052,45,74,9,0,0,1,0,3,3,2,3,15,1,1
ko00053,47,45,4,3,0,0,1,3,0,0,0,7,3,1
ko00061,50,33,0,0,0,0,0,1,1,0,1,2,0,1
ko00062,40,23,0,0,0,0,0,1,0,0,0,0,0,0
ko00071,50,53,1,2,0,0,0,3,0,0,0,6,0,1
ko00072,6,8,0,0,0,0,0,1,0,0,0,2,0,0
ko00073,27,12,0,0,0,0,0,0,2,0,0,1,0,1
ko00100,50,30,1,0,0,0,0,2,0,1,0,0,0,0
ko00120,47,18,1,0,0,0,0,0,0,1,0,4,0,0
ko00121,35,8,1,0,0,0,0,0,0,0,0,1,0,0
ko00130,90,55,3,1,0,0,0,5,3,1,1,11,0,2
ko00140,99,47,19,4,4,1,1,6,17,4,6,12,7,0
ko00190,16,215,1,0,0,0,0,3,0,1,1,4,0,0
ko00195,11,63,0,0,0,0,0,0,0,0,0,0,0,0
ko00196,0,41,0,0,0,0,0,0,0,0,0,0,0,0
ko00220,23,55,1,2,0,1,0,4,0,3,0,5,0,2
ko00230,92,269,7,4,0,3,0,14,1,7,5,31,3,3
ko00231,12,9,0,0,0,0,0,0,1,0,0,0,0,0
ko00232,21,9,1,0,0,0,0,1,0,0,0,0,0,1
ko00240,68,175,1,2,0,2,0,4,0,4,7,22,0,0
ko00250,28,67,2,3,0,3,0,7,0,2,1,13,1,3
ko00253,22,20,0,0,0,0,0,0,0,0,0,0,0,0
ko00254,27,13,0,0,0,0,0,0,0,0,0,0,0,0
ko00260,50,93,1,1,0,0,0,3,0,1,0,8,0,1
ko00261,39,28,1,0,0,0,0,0,2,0,0,0,0,0
ko00270,62,93,1,3,0,0,0,7,0,0,1,12,0,4
ko00280,42,69,2,2,0,0,2,4,0,1,1,8,0,2
ko00281,21,16,0,0,0,0,0,0,0,0,0,0,0,0
ko00290,23,17,4,6,0,2,2,1,4,1,2,2,0,0
ko00300,35,46,1,3,0,2,0,3,0,1,1,4,0,1
ko00310,52,72,1,3,0,0,0,4,2,1,5,19,0,2
ko00311,18,15,0,0,0,0,0,0,0,0,0,0,0,0
ko00330,76,96,1,4,0,0,0,2,0,0,1,10,0,2
ko00331,10,5,0,0,0,0,0,0,0,0,0,0,0,0
ko00332,32,19,0,0,0,0,0,0,0,0,0,0,0,0
ko00340,47,44,1,2,0,0,0,1,0,2,1,6,0,1
ko00350,77,69,2,3,0,1,0,5,2,0,5,17,0,2
ko00360,72,75,7,4,0,0,0,6,1,0,11,21,0,2
ko00361,83,39,0,0,0,0,0,0,1,0,1,0,0,0
ko00362,66,90,5,0,0,0,0,1,1,0,1,2,0,0
ko00363,25,4,3,0,0,0,0,1,0,0,2,1,0,0
ko00364,32,14,0,0,0,0,0,0,0,0,0,0,0,0
ko00365,10,8,1,0,0,0,0,0,1,0,0,0,0,0
ko00380,81,64,1,3,0,0,0,5,2,5,0,9,0,2
ko00400,35,72,3,6,1,1,0,4,1,1,2,13,0,2
ko00401,32,30,1,2,0,0,0,2,1,0,0,2,1,1
ko00402,9,8,0,0,0,0,0,0,0,0,0,0,0,0
ko00403,33,13,1,0,0,0,0,0,0,0,0,0,0,0
ko00410,32,43,0,1,0,0,0,3,1,0,0,6,0,1
ko00430,22,24,2,0,0,0,0,1,0,2,0,1,0,0
ko00440,51,35,1,0,0,0,0,0,0,2,0,0,0,0
ko00450,27,28,0,0,0,0,0,1,0,0,0,3,0,0
ko00460,45,32,2,0,0,1,0,0,1,0,1,4,0,0
ko00471,12,6,1,0,0,0,0,0,0,0,0,2,0,1
ko00472,10,6,0,0,0,0,0,0,0,0,0,1,0,0
ko00473,6,5,0,0,0,0,0,1,0,0,0,1,0,0
ko00480,38,40,1,2,0,0,0,3,1,0,0,3,0,0
ko00500,51,105,7,4,0,0,0,3,1,3,4,14,0,0
ko00510,36,43,0,1,0,1,0,2,0,0,0,3,0,0
ko00511,0,18,0,0,0,0,0,0,0,1,0,6,0,0
ko00512,15,11,0,0,0,0,0,0,0,0,0,0,0,0
ko00513,28,49,0,0,0,1,0,1,0,0,0,2,0,0
ko00514,0,31,0,0,0,1,0,1,0,0,0,3,0,0
ko00520,108,147,5,1,0,2,0,6,3,1,0,7,0,1
ko00521,24,18,2,0,0,0,0,1,0,0,0,3,0,0
ko00522,76,36,2,0,2,0,1,0,2,0,1,0,1,0
ko00523,39,40,0,0,0,0,0,0,0,0,0,0,0,0
ko00524,33,21,3,0,0,0,2,1,1,0,1,1,0,0
ko00531,27,15,0,0,0,0,0,0,0,0,0,1,0,0
ko00532,12,18,0,0,0,0,0,0,0,0,0,1,0,0
ko00533,0,14,0,0,0,1,0,1,0,0,0,0,0,0
ko00534,7,22,0,0,0,0,0,0,0,0,0,0,0,0
ko00540,30,38,0,0,0,0,0,0,1,0,0,1,0,0
