,nCpds,nGenes,Km0_cpd,Km0_gene,Km1_cpd,Km1_gene,Km2_cpd,Km2_gene,Km3_cpd,Km3_gene,Km4_cpd,Km4_gene,Km5_cpd,Km5_gene,pathwayInfo,pathwayGroup_A,pathwayGroup_B
ko00010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glycolysis / Gluconeogenesis,Metabolism,Carbohydrate metabolism
ko00020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Citrate cycle (TCA cycle),Metabolism,Carbohydrate metabolism
ko00030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pentose phosphate pathway,Metabolism,Carbohydrate metabolism
ko00040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pentose and glucuronate interconversions,Metabolism,Carbohydrate metabolism
ko00051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fructose and mannose metabolism,Metabolism,Carbohydrate metabolism
ko00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Galactose metabolism,Metabolism,Carbohydrate metabolism
ko00053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascorbate and aldarate metabolism,Metabolism,Carbohydrate metabolism
ko00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fatty acid biosynthesis,Metabolism,Lipid metabolism
ko00062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fatty acid elongation,Metabolism,Lipid metabolism
ko00071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fatty acid degradation,Metabolism,Lipid metabolism
ko00072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Synthesis and degradation of ketone bodies,Metabolism,Lipid metabolism
ko00073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cutin, suberine and wax biosynthesis",Metabolism,Lipid metabolism
ko00100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steroid biosynthesis,Metabolism,Lipid metabolism
ko00120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Primary bile acid biosynthesis,Metabolism,Lipid metabolism
ko00121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Secondary bile acid biosynthesis,Metabolism,Lipid metabolism
ko00130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism,Metabolism of cofactors and vitamins
ko00140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steroid hormone biosynthesis,Metabolism,Lipid metabolism
ko00190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxidative phosphorylation,Metabolism,Energy metabolism
ko00195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Photosynthesis,Metabolism,Energy metabolism
ko00196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Photosynthesis - antenna proteins,Metabolism,Energy metabolism
ko00220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arginine biosynthesis,Metabolism,Amino acid metabolism
ko00230,92,266,3,9,0,0,0,0,0,0,0,0,0,0,Purine metabolism,Metabolism,Nucleotide metabolism
ko00231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Puromycin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
ko00232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caffeine metabolism,Metabolism,Biosynthesis of other secondary metabolites
ko00240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pyrimidine metabolism,Metabolism,Nucleotide metabolism
ko00250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alanine, aspartate and glutamate metabolism",Metabolism,Amino acid metabolism
ko00253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tetracycline biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
ko00254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aflatoxin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
