Skecos6	K06685
Skecos12	K00630
Skecos13	K12858
Skecos14	K00605
Skecos23	K00248
Skecos26	K06158
Skecos45	K04615
Skecos48	K03250
Skecos49	K06641
Skecos59	K01482
Skecos67	K00797
Skecos94	K14308
Skecos97	K11368
Skecos111	K07304
Skecos136	K02975
Skecos138	K01754
Skecos143	K10837
Skecos158	K12196
Skecos188	K13525
Skecos207	K12621
Skecos208	K15109
Skecos215	K09140
Skecos222	K00432
Skecos227	K17637
Skecos246	K17906
Skecos258	K00434
Skecos270	K12818
Skecos279	K08901
Skecos280	K08592
Skecos288	K06099
Skecos293	K02927
Skecos300	K04498
Skecos305	K00793
Skecos308	K02949
Skecos316	K12611
Skecos321	K00428
Skecos324	K09488
Skecos327	K02960
Skecos339	K02838
Skecos349	K00927
Skecos352	K11717
Skecos359	K13099
Skecos366	K01507
Skecos368	K01230
Skecos381	K01803
Skecos382	K14648
Skecos384	K02938
Skecos385	K01802
Skecos395	K11649
Skecos399	K12614
Skecos410	K02221
Skecos415	K02738
Skecos424	K02326
Skecos426	K02996
Skecos430	K15030
Skecos440	K02155
Skecos443	K10769
Skecos457	K01256
Skecos460	K15263
Skecos467	K01883
Skecos473	K09503
Skecos493	K03110
Skecos507	K14831
Skecos515	K01733
Skecos518	K14560
Skecos538	K10685
Skecos540	K15423
Skecos557	K06177
Skecos566	K13337
Skecos573	K15262
Skecos575	K01120
Skecos590	K01923
Skecos592	K03810
Skecos600	K13106
Skecos603	K02537
Skecos612	K00257
Skecos619	K00958
Skecos623	K01011
Skecos634	K01409
Skecos636	K12343
Skecos640	K11322
Skecos642	K16914
Skecos645	K08360
Skecos649	K14560
Skecos663	K05610
Skecos664	K06158
Skecos691	K10752
Skecos695	K00382
Skecos698	K11968
Skecos700	K00434
Skecos702	K14292
Skecos704	K02516
Skecos716	K01965
Skecos725	K03347
Skecos729	K14016
Skecos730	K05658
Skecos741	K15275
Skecos751	K02962
Skecos757	K03320
Skecos759	K17655
Skecos771	K02910
Skecos777	K11519
Skecos782	K13181
Skecos784	K11253
Skecos808	K00698
Skecos814	K00800
Skecos817	K00012
Skecos818	K02875
Skecos819	K00099
Skecos821	K11090
Skecos824	K07977
Skecos835	K15445
Skecos837	K03253
Skecos840	K01555
Skecos843	K14191
Skecos845	K02984
Skecos851	K09490
Skecos852	K00145
Skecos853	K08142
Skecos855	K11274
Skecos867	K01537
Skecos878	K02291
Skecos880	K01756
Skecos889	K11827
Skecos890	K00655
Skecos894	K09565
Skecos908	K03142
Skecos909	K02895
Skecos910	K02730
Skecos925	K08910
Skecos928	K13754
Skecos952	K12625
Skecos955	K02155
Skecos957	K07243
Skecos968	K02293
Skecos976	K03872
Skecos985	K11294
Skecos986	K13127
Skecos992	K10843
Skecos993	K14568
Skecos996	K00616
Skecos1005	K15111
Skecos1023	K02973
Skecos1029	K03267
Skecos1032	K12589
Skecos1041	K11320
Skecos1049	K02902
Skecos1061	K14793
Skecos1071	K17430
Skecos1073	K08737
Skecos1079	K17302
Skecos1091	K08515
Skecos1097	K07200
Skecos1098	K00213
Skecos1103	K15171
Skecos1114	K08874
Skecos1129	K02202
Skecos1160	K06875
Skecos1165	K15362
Skecos1177	K07565
Skecos1182	K01948
Skecos1188	K03676
Skecos1199	K10751
Skecos1207	K03065
Skecos1222	K02865
Skecos1229	K17781
Skecos1235	K07390
Skecos1236	K10839
Skecos1254	K13421
Skecos1255	K04488
Skecos1257	K07953
Skecos1261	K02934
Skecos1265	K04523
Skecos1268	K02575
Skecos1269	K13199
Skecos1292	K02148
Skecos1293	K08495
Skecos1305	K01870
Skecos1311	K17777
Skecos1323	K14844
Skecos1348	K10251
Skecos1359	K02575
Skecos1365	K10258
Skecos1383	K01868
Skecos1385	K01875
Skecos1411	K01845
Skecos1413	K03036
Skecos1426	K12605
Skecos1432	K01802
Skecos1433	K10357
Skecos1450	K07376
Skecos1453	K05309
Skecos1462	K12733
Skecos1470	K03885
Skecos1507	K02735
Skecos1511	K03644
Skecos1519	K04640
